customer_id,store,name,age,segment,visits_per_month,avg_basket_usd,monthly_spend_usd,grocery_pct,electronics_pct,apparel_pct,home_pct,private_label_pct,online_orders_pct,coupon_usage_pct,loyalty_score,income_usd,income_tier
1,whole_foods,Linda Hill,45,Professional,4,151,604,65,5,13,17,6,43,3,44,86900,High
2,whole_foods,Stephanie Miller,62,Professional,6,169,1014,63,6,5,26,12,61,6,43,138700,High
3,whole_foods,Jason Flores,50,Professional,5,212,1060,67,5,10,18,17,44,10,73,113500,High
4,whole_foods,Sharon Sanchez,30,Professional,8,170,1360,57,1,7,35,6,42,9,53,137800,High
5,whole_foods,Deborah Brown,32,Professional,7,238,1666,62,2,9,27,8,70,10,46,135300,High
6,whole_foods,Brandon Wilson,48,Professional,6,180,1080,56,7,13,24,8,60,6,83,146600,High
7,whole_foods,Michael Davis,63,Family,7,158,1106,63,6,9,22,8,63,10,39,95500,High
8,whole_foods,Kevin Hall,55,Professional,7,141,987,59,7,10,24,15,67,3,71,132100,High
9,whole_foods,Brian Baker,55,Family,4,177,708,69,6,7,18,12,36,16,71,93400,High
10,whole_foods,Melissa Jackson,37,Senior,5,254,1270,62,6,10,22,5,44,3,81,130700,High
11,whole_foods,Michelle Torres,64,Professional,3,140,420,61,1,12,26,15,34,9,59,103100,High
12,whole_foods,Donna Moore,41,Senior,7,236,1652,64,5,9,22,13,44,13,56,116700,High
13,whole_foods,Paul Lee,65,Professional,7,160,1120,56,1,11,32,8,63,14,38,110400,High
14,whole_foods,Eric Robinson,36,Single,8,238,1904,62,4,12,22,16,37,4,54,101100,High
15,whole_foods,Nancy Walker,31,Single,8,257,2056,64,1,12,23,11,35,5,63,149800,High
16,whole_foods,Paul Anderson,43,Professional,3,185,555,68,4,5,23,18,60,15,76,105900,High
17,whole_foods,Dylan Wilson,41,Single,6,264,1584,55,1,9,35,15,61,6,68,121400,High
18,whole_foods,Richard Taylor,31,Professional,7,222,1554,53,3,5,39,11,63,10,38,107300,High
19,whole_foods,Michelle Hernandez,43,Professional,6,149,894,68,2,10,20,11,48,9,61,129600,High
20,whole_foods,Jennifer Nguyen,53,Family,4,210,840,57,3,12,28,6,46,16,78,102900,High
21,whole_foods,Maria Rivera,36,Professional,5,263,1315,68,3,6,23,14,58,10,82,122900,High
22,whole_foods,Michelle Scott,34,Senior,4,163,652,68,5,6,21,9,38,7,66,107500,High
23,whole_foods,Eric Hill,31,Single,3,206,618,67,1,8,24,7,64,5,54,103800,High
24,whole_foods,Barbara Sanchez,37,Professional,7,134,938,59,4,9,28,6,42,16,76,93400,High
25,whole_foods,Matthew Robinson,34,Professional,5,264,1320,68,3,11,18,6,71,11,84,136200,High
26,whole_foods,Donald Thomas,49,Professional,6,220,1320,68,6,7,19,16,34,15,72,98500,High
27,whole_foods,Ronald Johnson,42,Single,4,133,532,55,3,13,29,17,40,11,53,111200,High
